Age,Monthly_Income,Credit_Score,Loan_Amount_Requested,Employment_Status,Existing_Debts,Number_of_Previous_Loans,Payment_History,Debt_to_Income_Ratio,Repayment_Status
59,15442,803,39270,Employed,14175,8,Good,0.21,1
26,18266,845,40217,Employed,3061,4,Fair,0.06,1
32,5612,410,25923,Unemployed,2087,7,Fair,0.39,0
57,14280,843,23942,Employed,3110,0,Good,0.54,1
42,17190,508,34750,Employed,7028,3,Excellent,0.55,1
22,11588,332,33333,Employed,10984,3,Good,0.19,0
28,3009,406,42691,Self-Employed,12853,1,Fair,0.7,0
51,13904,564,48757,Employed,3243,2,Good,0.42,1
41,3078,525,23912,Employed,12589,7,Excellent,0.27,1
32,18763,786,22983,Employed,7657,7,Excellent,0.31,1
55,15606,478,47197,Employed,7599,0,Good,0.13,1
25,11340,521,23074,Employed,1724,1,Excellent,0.37,1
22,14431,669,48164,Unemployed,9125,3,Fair,0.54,1
65,2859,466,44560,Employed,554,5,Excellent,0.32,1
43,5742,599,6905,Employed,8195,2,Fair,0.61,0
35,17964,680,26028,Employed,1284,6,Good,0.36,1
23,4209,334,5073,Unemployed,12260,2,Good,0.64,0
54,14291,706,3234,Employed,4976,7,Good,0.51,1
65,18551,801,16273,Employed,11812,5,Excellent,0.09,1
30,4999,613,8631,Employed,12697,7,Excellent,0.09,1
45,13190,400,13061,Student,14058,6,Poor,0.57,0
22,9580,514,24818,Employed,14600,4,Good,0.28,1
30,2689,361,45667,Employed,6158,4,Excellent,0.17,0
34,15408,668,24704,Employed,8279,2,Good,0.61,1
67,14251,667,30362,Employed,6103,3,Excellent,0.69,1
57,16214,393,47506,Self-Employed,12386,7,Excellent,0.58,1
62,2525,768,11850,Self-Employed,5103,4,Excellent,0.52,1
49,1571,325,31638,Employed,9832,8,Excellent,0.05,0
46,7046,734,17919,Employed,216,2,Good,0.12,1
68,4185,420,24884,Employed,6553,9,Fair,0.49,0
20,10885,349,32480,Employed,8382,2,Good,0.32,1
73,19732,335,31697,Self-Employed,13526,7,Good,0.06,1
57,12076,709,19084,Employed,1733,7,Excellent,0.53,1
51,3522,588,40807,Employed,4712,6,Excellent,0.32,1
57,17331,678,31301,Employed,7194,5,Good,0.48,1
44,14440,399,8114,Unemployed,1205,6,Fair,0.35,0
30,19182,623,31550,Unemployed,2642,6,Excellent,0.07,1
62,5602,628,46179,Employed,11422,5,Good,0.46,0
50,18788,520,8469,Employed,6373,8,Poor,0.56,0
23,4526,409,48771,Student,11498,4,Fair,0.15,0
41,8209,448,7492,Employed,11039,4,Excellent,0.63,1
36,7469,705,38112,Employed,11649,5,Excellent,0.17,1
33,4120,709,2971,Self-Employed,12817,9,Poor,0.32,0
57,4146,428,47350,Employed,3355,3,Excellent,0.39,0
45,6365,783,10644,Employed,12358,9,Good,0.25,1
50,3789,407,27169,Unemployed,13526,9,Good,0.38,0
65,8870,688,18096,Employed,2164,8,Good,0.52,1
58,15354,724,37423,Employed,99,1,Excellent,0.51,1
30,11177,746,49110,Employed,599,2,Good,0.65,1
60,12843,367,13534,Student,9051,8,Excellent,0.61,1
62,19324,365,13768,Employed,5784,0,Good,0.69,1
42,2265,803,23625,Unemployed,6438,4,Good,0.44,1
70,14171,803,40240,Employed,13292,2,Excellent,0.31,1
59,17658,620,29660,Employed,12083,2,Good,0.21,1
53,5592,746,25144,Employed,10873,0,Poor,0.21,0
44,14475,509,10640,Unemployed,5842,7,Fair,0.15,1
55,10841,669,21032,Employed,10296,2,Excellent,0.52,1
24,13834,757,38892,Unemployed,7180,3,Good,0.48,1
22,17577,462,27589,Employed,10432,4,Good,0.24,1
60,17335,631,9650,Self-Employed,7742,4,Good,0.63,1
62,4166,649,3843,Employed,9185,1,Fair,0.41,0
74,7468,767,25357,Employed,3910,6,Poor,0.09,1
68,9141,725,17976,Employed,11773,5,Good,0.09,1
48,11334,626,1497,Employed,9368,6,Fair,0.14,0
40,5388,405,3134,Employed,13334,9,Excellent,0.19,0
59,2340,554,19833,Employed,12317,9,Fair,0.63,0
27,15373,657,6412,Employed,11632,2,Fair,0.56,1
49,12346,743,33666,Employed,5820,7,Good,0.18,1
60,7399,412,5292,Employed,11654,5,Fair,0.21,0
70,2065,329,28387,Employed,14645,6,Good,0.46,0
47,7505,823,32826,Unemployed,13932,8,Good,0.62,1
56,10656,345,1026,Employed,1376,7,Poor,0.26,0
48,11974,470,13108,Self-Employed,8763,7,Excellent,0.39,1
35,10687,429,15470,Employed,12353,2,Poor,0.63,0
53,8726,652,30785,Employed,10405,0,Excellent,0.55,1
19,10879,502,3253,Employed,9707,0,Good,0.63,0
31,7390,525,21026,Employed,11916,9,Excellent,0.23,1
30,14613,379,45258,Employed,4659,1,Excellent,0.5,1
46,5811,609,30274,Employed,8371,7,Good,0.12,1
29,12946,334,47147,Employed,14879,9,Excellent,0.45,1
56,10348,460,46417,Employed,725,5,Poor,0.25,0
19,7583,734,43243,Unemployed,13064,5,Excellent,0.51,1
49,14098,837,48761,Employed,1040,0,Excellent,0.14,1
30,18440,524,2086,Employed,6269,1,Fair,0.48,1
63,4080,745,25406,Employed,81,4,Fair,0.51,0
44,15344,616,35783,Self-Employed,11303,2,Good,0.61,1
66,11053,713,22451,Employed,5735,1,Excellent,0.5,1
58,10886,394,10907,Employed,11210,8,Fair,0.39,0
34,16135,524,8123,Employed,1205,9,Good,0.56,1
57,2171,365,47702,Employed,12159,6,Poor,0.23,0
48,2277,696,27302,Unemployed,14773,0,Good,0.49,1
51,4522,509,8084,Employed,13255,0,Fair,0.52,0
41,19744,773,20847,Unemployed,14001,2,Fair,0.31,1
62,15317,789,23805,Unemployed,6673,9,Good,0.69,1
52,15760,479,15248,Employed,5772,5,Fair,0.28,1
65,2574,823,5467,Employed,13472,1,Good,0.1,1
23,11408,758,26384,Unemployed,14222,7,Excellent,0.25,1
36,10975,367,3896,Employed,11989,3,Good,0.11,1
47,14378,628,11362,Self-Employed,6142,7,Good,0.27,1
24,16620,501,20512,Unemployed,2981,6,Fair,0.13,1
27,3486,774,21639,Self-Employed,10973,1,Good,0.34,1
58,12325,817,43110,Self-Employed,12037,8,Good,0.56,1
49,10693,314,18718,Self-Employed,12844,4,Fair,0.09,0
51,18930,341,26093,Employed,5306,5,Good,0.42,1
45,3676,842,24462,Employed,3446,1,Excellent,0.08,1
32,11547,588,18672,Employed,9682,2,Excellent,0.62,1
47,18384,832,9937,Self-Employed,2288,9,Excellent,0.65,1
54,6108,543,48391,Unemployed,5856,7,Excellent,0.37,1
46,13406,473,46475,Employed,2381,4,Excellent,0.55,1
39,8734,833,29543,Employed,8239,9,Good,0.44,1
21,8110,808,23031,Employed,4008,0,Excellent,0.27,1
37,12024,543,39696,Unemployed,7271,8,Excellent,0.21,1
49,18484,359,18081,Employed,8654,0,Poor,0.54,0
53,14911,403,12226,Employed,5193,8,Poor,0.33,0
67,10680,602,17858,Unemployed,7734,9,Good,0.65,1
21,16725,376,45936,Employed,2364,5,Excellent,0.68,1
44,11573,317,31332,Student,14337,6,Fair,0.19,0
34,5983,833,47957,Student,7921,0,Good,0.41,1
29,7401,483,40300,Unemployed,10611,9,Excellent,0.4,1
39,7629,849,42470,Employed,1793,0,Good,0.61,1
34,19638,580,26113,Employed,3540,4,Excellent,0.5,1
27,11915,587,44220,Self-Employed,14155,1,Poor,0.44,0
71,5982,824,23016,Employed,9225,9,Fair,0.49,0
18,11186,773,6384,Employed,8779,4,Excellent,0.3,1
39,8900,566,18750,Unemployed,12710,4,Good,0.67,1
43,8306,656,18445,Employed,7425,5,Good,0.09,1
73,12016,300,29904,Employed,5752,8,Fair,0.07,0
35,8896,326,36075,Employed,6976,5,Good,0.32,0
67,8838,847,17691,Self-Employed,11201,9,Excellent,0.15,1
31,11450,459,30074,Unemployed,2774,0,Excellent,0.4,1
64,14000,698,10188,Employed,475,4,Excellent,0.06,1
46,13045,842,26860,Employed,4340,1,Poor,0.35,1
29,6741,426,31171,Employed,7504,7,Poor,0.24,0
53,6195,509,30421,Employed,10931,6,Good,0.18,1
52,13030,449,43089,Employed,4583,5,Excellent,0.34,1
69,15812,330,32990,Employed,11092,1,Good,0.61,1
29,15818,601,1303,Employed,14123,2,Fair,0.48,1
24,19666,556,7486,Employed,10017,8,Excellent,0.15,1
46,12824,356,6566,Self-Employed,13384,8,Good,0.37,0
28,4718,308,22541,Employed,7888,6,Excellent,0.66,0
50,5516,304,4891,Unemployed,13040,1,Good,0.34,0
23,4337,413,10046,Self-Employed,10089,6,Fair,0.36,0
64,17812,504,30741,Employed,11948,0,Good,0.66,1
32,8534,323,6724,Employed,5023,8,Good,0.14,1
49,8809,792,49347,Unemployed,13316,8,Fair,0.53,1
68,15879,705,23664,Unemployed,5581,5,Fair,0.24,0
28,5739,402,6350,Employed,5485,9,Excellent,0.61,1
40,13628,359,42777,Employed,3566,0,Good,0.09,1
43,17356,385,15025,Employed,6360,7,Fair,0.69,0
51,11111,671,29225,Employed,13525,5,Good,0.55,1
63,5650,501,10164,Employed,13246,8,Good,0.23,1
51,12609,388,37901,Employed,1348,8,Good,0.54,1
46,2946,736,10370,Employed,2357,6,Excellent,0.65,1
21,13436,419,49630,Employed,10277,3,Excellent,0.12,1
34,12536,455,33872,Unemployed,5000,0,Good,0.64,0
52,7968,698,25830,Self-Employed,13372,2,Good,0.28,1
30,15521,487,24955,Student,5214,5,Fair,0.05,1
58,5675,351,48037,Employed,14568,0,Good,0.12,0
56,16890,830,23985,Employed,5908,3,Good,0.63,1
32,6580,779,24055,Self-Employed,13859,7,Good,0.69,1
72,16971,529,26166,Employed,4608,7,Good,0.63,1
46,16393,780,42329,Employed,14485,5,Fair,0.34,1
46,18748,429,13389,Employed,11734,5,Fair,0.67,1
28,17509,354,20347,Unemployed,14550,2,Good,0.31,1
69,7717,570,42623,Employed,2446,6,Excellent,0.12,1
49,7172,399,17360,Employed,13869,7,Poor,0.27,0
19,3002,368,15214,Employed,9792,1,Good,0.7,0
64,2910,598,28222,Unemployed,3077,4,Fair,0.46,0
31,5270,828,7743,Employed,6055,5,Fair,0.27,1
37,11597,653,36356,Employed,8098,0,Good,0.46,1
39,5501,451,35303,Employed,10428,4,Good,0.33,0
28,2098,629,15698,Employed,9878,2,Poor,0.08,0
44,12476,415,35796,Employed,4755,2,Fair,0.18,0
20,7891,841,30602,Employed,12315,5,Fair,0.06,1
34,17950,622,15947,Student,2001,0,Good,0.22,1
61,16408,528,36537,Self-Employed,8326,4,Poor,0.53,0
73,13090,659,23469,Employed,1789,4,Fair,0.18,1
45,17779,304,7486,Employed,12592,4,Fair,0.39,0
46,4250,327,8241,Employed,10734,2,Excellent,0.51,0
38,11416,663,31854,Unemployed,13011,5,Good,0.41,1
64,8306,761,20371,Employed,11543,0,Good,0.06,1
33,7929,530,41903,Employed,7247,9,Good,0.29,1
54,9623,694,33524,Employed,7948,0,Good,0.34,1
37,19515,570,47941,Employed,2907,1,Excellent,0.27,1
23,7952,603,23474,Employed,6534,3,Good,0.41,1
36,18658,682,13667,Employed,6742,9,Good,0.38,1
74,16956,327,14801,Employed,7062,8,Fair,0.17,1
22,5519,818,43108,Unemployed,13179,9,Good,0.54,1
20,13919,498,48141,Unemployed,2270,7,Good,0.15,1
18,2429,381,5405,Employed,11866,9,Fair,0.35,0
55,7764,387,3153,Employed,10219,1,Good,0.54,1
32,9473,689,26131,Employed,9019,0,Poor,0.5,0
51,11197,750,20680,Employed,14601,3,Good,0.33,1
52,12636,732,20697,Employed,7986,4,Good,0.56,1
66,2684,673,40064,Employed,9535,1,Excellent,0.51,1
42,18411,734,36351,Unemployed,7273,9,Fair,0.3,1
41,2416,486,29283,Employed,6396,5,Fair,0.63,0
29,5074,689,29444,Employed,4294,7,Fair,0.14,0
35,4819,517,36811,Employed,3127,4,Excellent,0.28,1
32,19290,407,23363,Employed,7071,3,Poor,0.5,0
61,19125,849,45804,Self-Employed,8598,6,Poor,0.62,1
33,6706,648,20646,Unemployed,1461,4,Good,0.26,1
44,18682,821,40804,Employed,1774,7,Good,0.41,1
25,19407,325,17036,Unemployed,5576,6,Fair,0.06,1
63,6428,347,7726,Employed,13788,4,Good,0.29,0
42,17605,669,37790,Self-Employed,9562,7,Good,0.27,1
34,4388,313,42160,Employed,8677,0,Good,0.6,0
46,4190,486,19274,Employed,6996,7,Good,0.1,1
70,5591,823,25587,Employed,362,2,Good,0.09,1
25,15460,578,22555,Employed,8133,0,Good,0.34,1
32,2190,640,11168,Unemployed,3801,8,Good,0.31,1
44,2995,627,16103,Employed,211,5,Fair,0.16,0
63,12585,324,26901,Employed,4796,7,Fair,0.22,0
67,18776,828,31567,Unemployed,8014,9,Fair,0.68,1
69,12220,725,46030,Employed,7020,3,Good,0.38,1
24,7373,328,14207,Employed,2661,1,Fair,0.11,0
20,6003,622,40432,Unemployed,9107,5,Good,0.08,1
46,13220,612,24691,Unemployed,9652,1,Good,0.08,1
61,15464,569,4556,Employed,12430,0,Good,0.3,1
70,2397,594,41072,Employed,11548,6,Good,0.61,0
41,18594,522,34133,Student,1093,6,Good,0.59,1
20,5195,374,16893,Employed,14159,5,Fair,0.29,0
37,4186,401,16866,Employed,7744,1,Poor,0.55,0
63,7278,831,1656,Employed,5053,4,Excellent,0.54,1
32,16650,472,42120,Employed,9925,0,Good,0.36,1
42,18299,303,16096,Employed,1551,1,Good,0.31,1
47,11163,778,16447,Self-Employed,9525,4,Good,0.17,1
31,5680,694,20854,Employed,9056,4,Poor,0.23,0
24,5762,466,22983,Unemployed,9478,6,Good,0.27,0
34,4015,599,32196,Employed,4155,4,Fair,0.58,0
61,12736,417,13046,Employed,4617,5,Good,0.41,1
37,15604,811,40194,Employed,8500,1,Excellent,0.18,1
53,8116,474,35529,Self-Employed,1543,4,Good,0.11,1
26,18876,458,1956,Employed,1405,7,Good,0.37,1
55,5870,683,25560,Employed,6484,0,Fair,0.48,0
65,19657,526,25175,Student,5721,9,Excellent,0.58,1
74,5316,337,42041,Student,1572,6,Excellent,0.57,0
39,3256,762,22295,Employed,2001,7,Fair,0.59,0
71,3873,730,15855,Employed,9091,4,Good,0.34,1
70,4076,403,19003,Employed,1107,3,Poor,0.61,0
70,5684,492,14036,Employed,8175,0,Good,0.34,1
19,3897,549,43133,Unemployed,3305,8,Excellent,0.16,1
41,14174,312,39773,Employed,4857,1,Good,0.31,0
25,11826,687,14844,Employed,12527,4,Good,0.27,1
28,12046,370,1645,Employed,7271,6,Good,0.3,1
30,6035,737,34146,Employed,11986,7,Excellent,0.48,1
34,16099,343,40877,Self-Employed,4320,9,Excellent,0.48,1
25,10668,571,45693,Unemployed,12566,3,Excellent,0.2,1
38,18618,313,18524,Employed,5512,9,Good,0.26,1
35,2132,670,21119,Employed,13989,0,Fair,0.44,0
47,14780,411,48679,Employed,12076,6,Excellent,0.1,1
35,16246,678,27589,Employed,10668,9,Good,0.5,1
63,5768,613,18045,Employed,8593,8,Fair,0.17,0
64,19547,714,14163,Student,10285,0,Good,0.6,1
48,16821,784,25587,Employed,14849,0,Fair,0.31,1
55,11707,468,22593,Employed,3247,6,Excellent,0.19,1
49,7091,545,34155,Employed,11263,8,Excellent,0.48,1
28,17726,565,31802,Employed,3856,4,Good,0.41,1
62,2554,542,29409,Employed,11893,3,Fair,0.16,0
42,10072,599,11111,Self-Employed,9999,5,Good,0.59,1
50,15079,626,46451,Employed,9581,8,Poor,0.34,0
55,12083,829,22119,Employed,5292,1,Good,0.15,1
58,9507,641,25675,Employed,4399,4,Good,0.57,1
25,17403,548,48078,Employed,14487,3,Fair,0.14,1
28,11284,679,48977,Employed,2398,2,Excellent,0.68,1
39,5761,831,36539,Employed,12992,4,Fair,0.34,1
68,3889,680,37937,Self-Employed,8283,6,Good,0.52,1
41,15439,341,24647,Self-Employed,11424,2,Excellent,0.34,1
58,12719,644,27953,Student,14441,2,Excellent,0.17,1
34,10899,560,43823,Employed,5222,5,Poor,0.54,0
29,2044,605,5019,Employed,2179,4,Good,0.24,1
74,3739,539,21654,Employed,11008,2,Excellent,0.49,1
63,12059,612,39624,Employed,1312,0,Excellent,0.22,1
49,4127,740,48418,Employed,12745,9,Good,0.21,1
32,8118,432,29334,Employed,12221,1,Excellent,0.35,1
33,13623,350,49695,Self-Employed,9090,2,Excellent,0.58,1
71,8280,691,46483,Employed,3172,3,Fair,0.45,1
39,9515,822,17418,Student,5932,4,Fair,0.09,1
45,4630,807,27742,Employed,3092,9,Poor,0.53,0
37,17980,653,14682,Employed,8440,8,Excellent,0.43,1
50,16331,694,49028,Unemployed,10431,3,Fair,0.46,1
27,4208,395,45599,Employed,2632,8,Good,0.28,1
57,6897,405,13164,Unemployed,3384,4,Good,0.41,1
49,13028,812,8618,Employed,4263,2,Excellent,0.29,1
67,18340,541,4380,Employed,13885,6,Poor,0.1,1
50,7414,787,24927,Employed,14506,7,Poor,0.6,0
19,5868,814,16163,Employed,3704,8,Fair,0.49,1
50,12679,360,20560,Self-Employed,13527,8,Excellent,0.49,1
50,13576,715,15725,Employed,5628,5,Fair,0.18,1
58,19821,593,42135,Employed,1197,8,Good,0.48,1
30,15448,601,5687,Self-Employed,10183,2,Excellent,0.2,1
47,19030,469,47242,Unemployed,14871,1,Excellent,0.5,1
50,15324,340,46969,Employed,4503,4,Good,0.27,1
30,5799,530,30962,Employed,8692,6,Fair,0.15,0
69,15620,708,2586,Self-Employed,9353,6,Fair,0.64,1
43,9618,596,9056,Self-Employed,8290,5,Good,0.12,1
39,12256,754,47358,Student,3128,2,Good,0.55,1
56,9453,356,6422,Employed,2294,5,Good,0.12,0
19,6284,539,21042,Employed,8904,0,Fair,0.5,0
55,16685,475,1952,Employed,3914,2,Excellent,0.12,1
56,10524,362,30532,Employed,8298,1,Fair,0.38,0
43,16174,437,39133,Employed,13359,3,Good,0.17,1
63,19345,753,13521,Employed,6988,7,Good,0.61,1
67,13208,748,11906,Employed,8237,2,Excellent,0.31,1
32,2659,525,3978,Employed,10635,5,Good,0.06,0
51,1886,742,47518,Unemployed,3131,9,Excellent,0.46,1
59,8692,505,43769,Self-Employed,13458,0,Poor,0.34,0
72,12245,326,32275,Employed,10855,3,Good,0.61,0
61,11410,756,44766,Unemployed,13891,4,Poor,0.33,0
66,4909,406,13343,Student,9141,4,Excellent,0.32,0
57,18573,743,12951,Employed,11760,0,Good,0.35,1
28,14680,335,15691,Employed,10913,8,Poor,0.61,0
20,18836,454,12520,Employed,3798,4,Excellent,0.43,1
23,7642,468,38676,Employed,5237,8,Excellent,0.49,1
26,7467,571,12326,Employed,14572,6,Good,0.52,1
23,8705,846,31521,Employed,11481,4,Good,0.66,1
26,17506,719,35727,Employed,4724,8,Excellent,0.59,1
56,13609,483,38950,Employed,11526,4,Poor,0.65,0
48,14534,536,1805,Employed,14505,9,Fair,0.27,1
49,3984,808,36868,Employed,14019,8,Good,0.19,1
58,3354,740,35343,Employed,6535,4,Excellent,0.18,1
67,13131,421,12922,Employed,11413,0,Excellent,0.61,1
29,4097,716,9791,Employed,3317,6,Excellent,0.59,1
25,9329,834,36383,Self-Employed,12788,4,Good,0.47,1
25,9686,674,45331,Employed,10009,4,Good,0.09,1
67,5483,625,16040,Employed,4044,5,Excellent,0.26,1
45,8184,779,26187,Unemployed,7358,5,Poor,0.53,0
37,11883,449,31860,Self-Employed,2221,6,Good,0.21,0
64,18540,789,27525,Employed,12880,7,Excellent,0.46,1
24,13504,452,39394,Employed,4267,0,Fair,0.4,1
28,13603,316,26136,Employed,9149,9,Excellent,0.22,1
37,7812,647,44506,Employed,6819,2,Fair,0.66,1
33,9438,758,18010,Employed,4904,5,Fair,0.22,1
21,11454,501,40652,Employed,4718,0,Poor,0.63,0
23,11277,722,45222,Unemployed,4814,4,Good,0.4,1
39,5063,579,12974,Employed,10577,4,Excellent,0.11,1
43,6541,721,9866,Employed,9626,9,Excellent,0.59,1
20,12792,764,19286,Employed,7237,8,Excellent,0.56,1
58,9526,654,16015,Unemployed,11361,1,Fair,0.59,0
59,15423,677,38140,Employed,2984,6,Fair,0.46,0
31,18924,423,27670,Employed,5636,8,Poor,0.51,0
28,5129,379,37610,Employed,3256,7,Good,0.64,0
35,3614,532,21695,Employed,9628,0,Fair,0.13,0
71,3177,779,25805,Employed,4473,0,Excellent,0.1,1
29,4594,453,25190,Self-Employed,8164,1,Poor,0.13,0
40,3784,708,8997,Employed,7179,0,Excellent,0.62,1
29,6552,330,45452,Employed,1432,7,Fair,0.42,0
30,19473,802,23752,Employed,9966,6,Good,0.16,1
42,13547,670,19069,Unemployed,417,5,Excellent,0.14,1
62,2194,622,31508,Employed,6474,1,Fair,0.34,0
68,17088,631,22517,Self-Employed,982,8,Fair,0.58,1
36,14555,542,42592,Employed,6423,0,Fair,0.57,0
72,17580,729,9524,Employed,1138,0,Good,0.6,1
63,8204,481,11071,Self-Employed,2928,1,Good,0.55,1
53,8868,772,40077,Employed,9425,6,Excellent,0.09,1
62,3471,675,42466,Employed,4542,9,Fair,0.52,1
25,16093,380,21596,Employed,830,0,Excellent,0.39,1
46,9555,849,10781,Employed,13705,2,Poor,0.52,0
72,12941,719,41239,Employed,12285,9,Good,0.36,1
70,16177,766,48560,Employed,13492,7,Good,0.36,1
72,3368,727,35759,Employed,7632,6,Fair,0.13,0
49,19555,356,46924,Employed,4288,7,Good,0.64,1
68,3228,621,43694,Employed,2860,5,Good,0.29,1
61,9132,841,27839,Employed,7105,7,Good,0.43,1
35,13543,794,3263,Employed,5375,4,Excellent,0.18,1
23,7903,565,26002,Employed,10160,8,Good,0.29,1
35,17232,526,39022,Self-Employed,7790,9,Excellent,0.62,1
36,10840,353,26642,Employed,2471,0,Good,0.19,0
39,7684,303,36579,Employed,12993,6,Excellent,0.18,0
54,1753,738,13571,Employed,13947,5,Fair,0.22,1
49,5602,609,18217,Employed,6234,7,Fair,0.42,0
73,5042,388,49225,Employed,12935,1,Fair,0.39,0
58,7712,619,8227,Employed,13082,0,Excellent,0.16,1
20,6137,674,42189,Employed,4836,0,Fair,0.5,0
45,13025,800,15207,Employed,6288,1,Fair,0.64,1
27,12971,533,47722,Employed,14787,4,Excellent,0.18,1
68,14000,636,13672,Employed,7595,6,Poor,0.49,0
52,16747,484,42783,Employed,4337,8,Good,0.43,1
46,12032,737,36286,Employed,9701,3,Excellent,0.26,1
71,15018,479,21051,Employed,5150,8,Good,0.45,0
32,7976,375,29879,Unemployed,8964,2,Excellent,0.19,1
50,2504,571,29845,Employed,5179,5,Fair,0.59,0
24,11786,354,11015,Employed,11864,8,Excellent,0.06,1
29,6217,376,43064,Self-Employed,14811,0,Good,0.42,0
66,4771,595,18425,Employed,12178,3,Good,0.26,1
47,14214,518,22496,Unemployed,12388,4,Fair,0.62,0
38,1709,576,1707,Employed,11049,5,Excellent,0.37,1
48,7039,565,18767,Employed,10872,7,Fair,0.57,0
41,18037,342,27467,Employed,1778,1,Excellent,0.65,1
37,10106,660,18686,Employed,10211,5,Fair,0.27,1
54,13116,527,8118,Unemployed,11116,6,Poor,0.62,0
21,2784,526,12213,Self-Employed,8780,5,Excellent,0.52,1
45,4648,362,32485,Employed,272,3,Excellent,0.12,0
61,2268,470,16501,Employed,11121,5,Good,0.12,0
37,7107,606,9868,Unemployed,10226,3,Excellent,0.58,1
41,8899,333,30333,Self-Employed,1501,8,Excellent,0.35,1
67,1858,429,43523,Employed,10297,0,Excellent,0.37,0
66,2349,693,35028,Self-Employed,6902,8,Good,0.63,1
68,8998,450,11545,Unemployed,13270,3,Excellent,0.64,1
49,6022,683,1357,Employed,7088,2,Good,0.12,1
58,14273,316,22788,Employed,3576,4,Good,0.29,0
53,19715,313,39180,Student,12674,2,Fair,0.63,0
70,19356,380,37002,Employed,7628,0,Poor,0.58,0
51,11128,506,17802,Employed,5727,7,Good,0.52,1
53,1829,503,21339,Employed,12332,8,Good,0.12,1
19,7351,678,2593,Unemployed,14626,5,Excellent,0.45,1
32,8532,843,5602,Employed,1281,1,Good,0.43,1
51,16826,322,47737,Employed,9006,5,Poor,0.16,0
53,6766,461,10577,Employed,1269,5,Fair,0.55,0
23,5854,443,46367,Employed,4335,5,Excellent,0.25,1
56,16582,403,31329,Unemployed,11676,9,Fair,0.45,0
59,6222,681,11943,Unemployed,9343,8,Fair,0.29,0
68,19272,754,34012,Employed,9929,3,Excellent,0.1,1
68,10411,716,5572,Employed,12563,1,Fair,0.39,0
71,4735,623,17250,Employed,10657,7,Excellent,0.25,1
29,6076,470,17633,Employed,2254,5,Good,0.1,0
20,2600,573,45053,Self-Employed,1575,9,Good,0.18,1
62,10364,751,40388,Self-Employed,14700,0,Excellent,0.45,1
35,10208,424,27171,Employed,9024,5,Fair,0.12,0
57,18665,682,6869,Employed,9561,1,Fair,0.11,1
38,15939,616,6971,Employed,12094,3,Excellent,0.66,1
32,13250,406,14957,Employed,8759,1,Excellent,0.12,1
50,11281,762,6968,Employed,12447,3,Good,0.29,1
52,6495,729,22253,Employed,14145,6,Fair,0.14,1
43,19385,636,26941,Employed,12383,7,Excellent,0.66,1
25,13486,795,8647,Employed,14760,2,Fair,0.36,1
53,14010,661,26499,Unemployed,12188,0,Poor,0.12,1
65,10768,731,32785,Employed,3187,9,Good,0.55,1
47,2002,819,17457,Self-Employed,3283,0,Excellent,0.56,1
40,11031,705,10000,Employed,598,9,Excellent,0.64,1
59,9509,676,38909,Employed,13618,6,Excellent,0.51,1
61,18507,451,35894,Employed,6411,0,Excellent,0.09,1
31,13042,621,19588,Employed,8235,2,Fair,0.41,1
31,18934,513,7470,Employed,14930,4,Excellent,0.3,1
19,19213,364,16473,Employed,13299,4,Excellent,0.54,1
72,14935,569,17161,Self-Employed,11721,3,Good,0.43,1
54,5614,836,21063,Unemployed,14034,7,Fair,0.52,1
22,15068,399,13908,Employed,1881,2,Excellent,0.17,1
55,4867,404,12850,Employed,3543,7,Fair,0.33,0
62,9595,430,1984,Employed,6152,5,Good,0.33,0
58,6641,688,8187,Employed,14236,3,Good,0.69,1
71,5451,620,28856,Employed,1883,9,Fair,0.06,1
64,16387,737,21339,Self-Employed,7356,2,Excellent,0.58,1
31,3073,318,44613,Employed,8572,9,Good,0.11,0
73,14859,524,39481,Unemployed,5951,9,Fair,0.1,1
56,4268,759,15083,Employed,5762,1,Fair,0.26,1
42,6802,693,49287,Employed,6870,5,Excellent,0.51,1
37,15246,525,44906,Employed,2162,0,Good,0.49,1
19,2711,659,26435,Employed,1658,9,Excellent,0.46,1
56,16945,729,3085,Unemployed,12675,7,Fair,0.55,1
23,17315,314,31837,Self-Employed,6582,4,Fair,0.2,1
34,2660,845,40301,Employed,13197,6,Good,0.46,1
42,8541,713,17183,Student,8037,6,Excellent,0.46,1
74,12346,654,36495,Employed,2892,9,Excellent,0.48,1
45,7376,756,34144,Employed,6043,5,Good,0.44,1
19,14389,830,40760,Unemployed,13630,4,Poor,0.19,1
52,15382,495,47953,Employed,2982,1,Fair,0.64,0
54,16238,414,23084,Employed,9067,2,Fair,0.68,0
22,2595,716,38458,Employed,7871,2,Good,0.5,1
18,7401,651,2065,Employed,3515,4,Poor,0.34,0
57,9715,374,4682,Employed,7827,1,Fair,0.4,0
29,14411,335,48561,Employed,27,0,Good,0.12,1
73,15623,541,33488,Employed,635,3,Fair,0.29,1
53,2579,362,32460,Employed,2015,9,Good,0.68,0
62,14010,808,9820,Employed,13709,2,Good,0.41,1
40,19844,487,19757,Unemployed,10316,2,Poor,0.41,0
64,2973,392,47588,Employed,586,9,Excellent,0.67,0
48,6388,304,24146,Employed,7525,5,Fair,0.63,0
28,6479,737,9058,Employed,13497,8,Good,0.42,1
27,2712,465,23852,Employed,3622,9,Poor,0.22,0
20,10501,745,15118,Employed,12521,9,Excellent,0.13,1
71,14748,324,37742,Self-Employed,7415,1,Fair,0.61,0
